a|一个；一（个）
able|能够的
about|关于；大约
actor|演员
after|在……之后
afternoon|下午
again|再一次
air|空气
airplane|飞机
airport|机场
alone|独自的
along|沿着；一起
alphabet|字母表
also|也
always|总是
am|是
an|一个
and|和；并且
angry|生气的
animal|动物
annoy|使烦恼
another|另一个
any|任何；一些
anybody|任何人
anyway|无论如何
apple|苹果
apples|苹果
are|是
argue|争论
arm|手臂
arms|手臂
around|在周围；大约
art|艺术；美术
as|像；作为
ash|灰烬
ask|问
astronaut|宇航员
at|在
august|八月
autumn|秋天
away|离开
awful|很糟的
babies|婴儿
baby|婴儿
back|后面；回来
bad|坏的
bag|包
bags|包
bake|烘烤
balloon|气球
balls|球
ban|禁止
bananas|香蕉
band|乐队；带子
bank|银行；岸
banking|银行业务
bar|条；酒吧
barbecue|烧烤
barn|谷仓
bat|蝙蝠；球棒
bath|洗澡
bathroom|浴室
be|是；成为
beach|海滩
beaches|海滩
bean|豆子
bear|熊
bear care|照顾熊
beautiful|美丽的
because|因为
bed|床
bedroom|卧室
beds|床
bedtime|就寝时间
bee|蜜蜂
been|曾经是
before|在……之前
beg|请求；乞求
behind|在后面
being|存在；正在成为
bell|铃
belong|属于
below|在下面
belt|腰带
bench|长凳
bend|弯曲
best|最好的
big|大的
bigger|更大的
bike|自行车
bikes|自行车
bin|箱子；垃圾桶
bird|鸟
birdie|小鸟
birthday|生日
birthday cake|生日蛋糕
birthday girl|过生日的女孩
bit|一点；小块
black|黑色的
blank|空白的
blanket|毯子
blink|眨眼
block|积木；街区
blouse|女式衬衫
blow|吹
blue|蓝色的
blueberry|蓝莓
bluebird|蓝知更鸟
boat|小船
boatman|船夫
boil|煮沸
bone|骨头
book|书
bookcase|书柜
books|书
bookshelf|书架
bookstore|书店
boot|靴子
born|出生的
boss|老板
both|两者都
bottle|瓶子
bowl|碗
box|盒子
boxes|盒子
boy|男孩
brain|大脑
branch|树枝；分支
brave|勇敢的
bread|面包
breakfast|早餐
brick|砖
bridge|桥
bright|明亮的；聪明的
bright line|亮线
bring|带来
broke|弄坏了；破产的
broom|扫帚
brother|兄弟
brown|棕色的
brownish|略带棕色的
brush|刷子；刷
brushes|刷子；刷
bubble|泡泡
bucket|桶
bug|小虫
bun|小面包
bunnies|兔子
bunny|小兔子
burger|汉堡包
burn|燃烧
bus|公共汽车
buses|公共汽车
bush|灌木
but|但是
butter|黄油
butterfly|蝴蝶
button|按钮；纽扣
buzz|嗡嗡声
by|在旁边；通过
cable|电缆
cake|蛋糕
called|叫作；打了电话
camp|营地；露营
can|能够；罐头
candies|糖果
candle|蜡烛
candy|糖果
cap|帽子
car|汽车
car park|停车场
card|卡片
cardboard|硬纸板
care|关心；照顾
careful|小心的
cars|汽车
cart|手推车
cartoon|卡通片
cash|现金
cat|猫
catch|抓住
cats|猫
cause|原因；引起
cave|洞穴
chain|链条
chair|椅子
chair lift|吊椅缆车
chalk|粉笔
chase|追赶
chat|聊天
cheap|便宜的
check|检查
cheek|脸颊
cheerful|快乐的
cheese|奶酪
cherry|樱桃
chest|胸部；箱子
chew|咀嚼
chick|小鸡
chicken|鸡；鸡肉
child|孩子
children|孩子们
chin|下巴
chinese|中文；中国的
chip|薯片；小片
chips|薯片
chocolate|巧克力
choice|选择
choose|选择
chop|切；砍
chopstick|筷子
chose|选择了
church|教堂
churches|教堂
circle|圆；圆圈
circus|马戏团
cities|城市
city|城市
clap|拍手
class|班级；课
classes|班级；课程
classroom|教室
claw|爪子
clean|干净的；清洁
cleaned|清洁了
clear|清楚的；晴朗的
cliff|悬崖
climb|攀爬
climbed|攀爬了
clip|夹子；夹住
cloak|斗篷
clock|钟
close|关闭；近的
closed|关闭了；关着的
cloth|布
clothes|衣服
cloud|云
cloudy|多云的
clown|小丑
club|俱乐部；棍棒
clue|线索
coach|教练；长途汽车
coast|海岸
coat|外套
cob|玉米棒
cod|鳕鱼
code|代码
coin|硬币
coke|可乐；焦炭
